case,fold,filename,iou,call_seconds,error
A4_102:LL:077,0,A4_102_LL_077.png,0.9599498729657351,1.69,
A4_112:LL:048,1,A4_112_LL_048.png,0.9484364064660397,1.6,
A4aSHP1,2,A4aSHP1.png,0.07916049322440513,1.63,
ART4:15:00001,3,ART4_15_00001.png,0.9722036259096724,1.67,
ART4:22:00001,4,ART4_22_00001.png,0.9439822085991122,1.85,
ART4:66:00001,0,ART4_66_00001.png,0.9457063259435374,1.67,
ART4:82:00001,1,ART4_82_00001.png,0.9555400901172221,1.74,
ARTICLE:200,2,ARTICLE_200.png,0.00033550015352904947,1.63,
ARTICLE:210,3,ARTICLE_210.png,0.003939613077163408,1.58,
ARTICLE:230,4,ARTICLE_230.png,0.06906947525980489,1.57,
ARTICLE:260,0,ARTICLE_260.png,0.9431324524845841,1.65,
ARTICLE:270,1,ARTICLE_270.png,0.9353494471780227,1.65,
Ar4.10,2,Ar4.10.png,0.08616507323601688,1.63,
Ar4.11,3,Ar4.11.png,0.7010632738303398,1.65,
Ar4.14,4,Ar4.14.png,0.2675934336756009,1.62,
Ar4.15,0,Ar4.15.png,0.7404571424487886,1.61,
Ar4.16,1,Ar4.16.png,0.038572273909389714,1.61,
Ar4.17,2,Ar4.17.png,0.08631017302186951,1.67,
Ar4.18,3,Ar4.18.png,0.2937048883827642,1.65,
Ar4.19,4,Ar4.19.png,0.5246635677979128,1.66,
Ar4.1_7a_merged,0,Ar4.1_7a_merged.png,0.08826834667120723,1.61,
Ar4.2,1,Ar4.2.png,0.9493303010412116,1.62,
Ar4.20,2,Ar4.20.png,0.0018060249899508015,1.63,
Ar4.21,3,Ar4.21.png,0.9485155607725687,1.64,
Ar4.22,4,Ar4.22.png,0.9672154289824482,1.66,
Ar4.23,0,Ar4.23.png,0.9491942978811289,1.67,
Ar4.24,1,Ar4.24.png,0.9612582678632425,1.64,
Ar4.25,2,Ar4.25.png,0.9657159072606931,1.63,
Ar4.26,3,Ar4.26.png,0.9316671708852958,1.67,
Ar4.27,4,Ar4.27.png,0.950467410875045,1.6,
Ar4.28,0,Ar4.28.png,0.9646154022882875,1.59,
Ar4.29,1,Ar4.29.png,0.9459482614693813,1.86,
Ar4.3,2,Ar4.3.png,0.25820364137111007,1.66,
Ar4.30,3,Ar4.30.png,0.22415295504638885,1.67,
Ar4.4,4,Ar4.4.png,0.020759102352092107,1.71,
Ar4.5,0,Ar4.5.png,0.014545136561051681,1.77,
Ar4.6,1,Ar4.6.png,0.9288286181431834,1.48,
Ar4.8,2,Ar4.8.png,0.0014012628523992234,1.63,
Ar4.9,3,Ar4.9.png,0.9770367687298469,1.69,
Art4D04,4,Art4D04.png,0.055575292131441766,1.76,
Art4D05,0,Art4D05.png,0.9764366048839933,1.66,
Art4D11,1,Art4D11.png,0.9436324351804779,1.57,
B4BE31D4-36A8-452E-97FF-04A53362B26C,2,B4BE31D4-36A8-452E-97FF-04A53362B26C.png,0.06487956989802904,1.64,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,3,B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE.png,0.007082658453318274,1.84,
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,0,B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D.png,0.0,1.71,
C69CB574-81DC-4130-B7D7-EB68C744D477,4,C69CB574-81DC-4130-B7D7-EB68C744D477.png,0.04831320588846091,1.73,
C97065B6-03D0-48C4-AE0E-508DB0BE644B,0,C97065B6-03D0-48C4-AE0E-508DB0BE644B.png,0.005180355105774592,1.72,
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,1,CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6.png,0.957281261998886,1.6,
CB:11:04552:ART4,2,CB_11_04552_ART4.png,0.028306406346641305,1.82,
CB:75:00001:ART4,3,CB_75_00001_ART4.png,0.923166694453045,1.82,
CB:82:00001:ART4,4,CB_82_00001_ART4.png,0.038052783837941716,1.69,
CPA4(1a),0,CPA4_1a_.png,0.10715379294340593,1.58,
CPA4(2a),1,CPA4_2a_.png,0.9646221272047034,1.56,
CPA4(3a),2,CPA4_3a_.png,0.9733827266551571,1.47,
CPA4(4a),3,CPA4_4a_.png,0.9529714107051619,1.46,
D9176429-F30F-4638-A67E-3B87E7ED603D,4,D9176429-F30F-4638-A67E-3B87E7ED603D.png,0.9581394018688916,1.59,
D93BF228-6271-4271-A085-9DAB7155FC66,0,D93BF228-6271-4271-A085-9DAB7155FC66.png,0.04411067448347636,2.25,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,0,DE5A30DA-29A4-45BE-B60A-C201A5F11C6F.png,0.0,1.61,
DEEADDA2-0FC2-422B-B738-F5D274549610,1,DEEADDA2-0FC2-422B-B738-F5D274549610.png,0.9680811358636887,1.46,
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,2,E6369A1B-AA37-4B67-AF76-3BC17E3A5885.png,0.6490056419372404,1.62,
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,3,ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047.png,0.002140055782283767,1.47,
F9A7310C-0DDD-469E-B34D-C270A186070F,4,F9A7310C-0DDD-469E-B34D-C270A186070F.png,0.10771201783169282,1.44,
FA067403-6115-4489-9ED0-2CF26FC2D299,0,FA067403-6115-4489-9ED0-2CF26FC2D299.png,0.09555138899273796,1.45,
FDBC0FDC-D090-4778-A123-232EB71DF3C6,0,FDBC0FDC-D090-4778-A123-232EB71DF3C6.png,0.0,1.46,
POLA4_AREA,1,POLA4_AREA.png,0.7017989013471282,1.52,
REG_4:36880,2,REG_4_36880.png,0.2736002568428624,1.42,
SSA401,3,SSA401.png,0.5247562700409185,1.45,
SSA402,4,SSA402.png,0.9760375113902598,1.55,
SSA403,0,SSA403.png,0.962830887395419,1.5,
SSA404,1,SSA404.png,0.9198129761918239,1.44,
SSA405,2,SSA405.png,0.0642602932053417,1.44,
