case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
A4D7,good_x_medium,0.571614,0.616528,0.886961,0.727423,438.81,True,,,1,False,True,,31.62,2011,3704,,
A4D8,good_x_medium,0.191991,0.245430,0.468584,0.322135,137.42,True,,,1,False,True,,202.33,2011,21330,,
A4D8A_merged,bad_x_hard,0.098846,0.101560,0.787163,0.179909,668.49,True,,,1,False,True,,44.18,4671,5267,,
A4D9,good_x_easy,0.000000,0.000000,0.000000,0.000000,902.13,True,,,1,False,True,,49.63,4744,5933,,
A4DA02,good_x_medium,0.000000,0.000000,0.000000,0.000000,985.44,True,,,1,False,True,,72.57,3607,8219,,
A4DA03,good_x_medium,0.000000,0.000000,0.000000,0.000000,976.61,True,,,1,False,True,,92.82,4212,14176,,
A4DA04,good_x_hard,0.000000,0.000000,0.000000,0.000000,1825.86,True,,,1,False,True,,67.98,2011,9614,,
A4DA05,good_x_easy,0.000000,0.000000,0.000000,0.000000,514.08,True,,,1,False,True,,53.46,2616,5332,,
A4DA06,good_x_medium,0.372843,0.374033,0.991535,0.543169,105.74,True,,,1,False,True,,76.51,3607,7759,,
A4Da1,good_x_medium,0.814484,0.906249,0.889425,0.897758,163.16,True,,,1,False,True,,48.83,2084,5773,,
A4Da2,good_x_easy,0.000000,0.000000,0.000000,0.000000,571.18,True,,,1,False,True,,116.15,2084,10220,,
A4Da3,good_x_medium,0.000000,0.000000,0.000000,0.000000,989.34,True,,,1,False,True,,118.33,3075,14956,,
A4EC3a1,bad_x_hard,0.102610,0.107336,0.699742,0.186122,269.67,True,,,1,False,True,,191.29,2011,22632,,
A4FNa1,good_x_medium,0.496208,0.774813,0.579828,0.663287,222.70,True,,,1,False,True,,169.70,2543,15220,,
A4KTRa1,good_x_easy,0.000000,0.000000,0.000000,0.000000,186.08,True,,,1,False,True,,29.69,2616,3217,,
A4RFa1,good_x_medium,0.399159,0.573572,0.567598,0.570570,382.99,True,,,1,False,True,,31.66,3148,4171,,
A4_002:CA,good_x_hard,0.101521,0.126129,0.342261,0.184329,331.63,True,,,3,True,True,,52.56,3148,5893,,
A4_093:LL:012,good_x_easy,0.000000,0.000000,0.000000,0.000000,1130.31,True,,,1,False,True,,68.81,3148,6325,,
A4_094:LL:013,good_x_easy,0.000000,0.000000,0.000000,0.000000,300.09,True,,,1,False,True,,46.19,3148,4136,,
A4_101:LL:069,good_x_easy,0.000000,0.000000,0.000000,0.000000,887.40,True,,,1,False,True,,44.29,3148,4975,,
A4_102:LL:077,good_x_easy,0.180259,0.212434,0.543409,0.305457,59.61,True,,,1,False,True,,28.27,3148,3701,,
A4_112:LL:048,good_x_medium,0.000000,0.000000,0.000000,0.000000,1281.05,True,,,1,False,True,,20.73,3148,2903,,
A4aSHP1,bad_x_medium,0.000000,0.000000,0.000000,0.000000,73.05,True,,,2,True,True,,62.19,5808,5732,,
ART4:22:00001,good_x_medium,0.784628,0.852388,0.908006,0.879318,128.03,True,,,1,False,True,,23.70,3148,3284,,
ART4:82:00001,good_x_medium,0.522527,0.604892,0.793281,0.686395,1074.06,True,,,1,False,True,,36.64,3680,4386,,
ARTICLE:200,bad_x_easy,0.000000,0.000000,0.000000,0.000000,1159.58,True,,,1,False,True,,256.90,2543,23372,,
ARTICLE:210,good_x_easy,0.000000,0.000000,0.000000,0.000000,894.47,True,,,1,False,True,,251.36,3680,23770,,
ARTICLE:230,bad_x_easy,0.000000,0.000000,0.000000,0.000000,754.91,True,,,1,False,True,,137.15,3148,17467,,
ARTICLE:270,good_x_easy,0.000000,0.000000,0.000000,0.000000,765.79,True,,,1,False,True,,112.62,3075,12800,,
Ar4.10,good_x_easy,0.000000,0.000000,0.000000,0.000000,1242.46,True,,,1,False,True,,66.53,3635,7035,,
Ar4.11,good_x_medium,0.084520,0.096390,0.406997,0.155865,408.00,True,,,1,False,True,,104.86,2011,12479,,
Ar4.14,good_x_easy,0.000000,0.000000,0.000000,0.000000,1913.56,True,,,1,False,True,,40.60,4212,3367,,
Ar4.16,good_x_easy,0.000000,0.000000,0.000000,0.000000,983.57,True,,,1,False,True,,31.74,2011,3560,,
Ar4.18,good_x_easy,0.000000,0.000000,0.000000,0.000000,830.92,True,,,1,False,True,,70.55,3131,9656,,
Ar4.19,good_x_easy,0.000000,0.000000,0.000000,0.000000,728.28,True,,,1,False,True,,94.51,2616,13460,,
Ar4.1_7a_merged,good_x_easy,0.009775,0.011421,0.063510,0.019361,407.19,True,,,5,True,True,,49.90,3075,5726,,
Ar4.20,good_x_easy,0.000000,0.000000,0.000000,0.000000,870.87,True,,,1,False,True,,118.50,3148,15916,,
Ar4.21,good_x_easy,0.000000,0.000000,0.000000,0.000000,1025.82,True,,,1,False,True,,69.68,2543,8993,,
Ar4.22,good_x_medium,0.000000,0.000000,0.000000,0.000000,700.70,True,,,1,False,True,,110.02,3148,10190,,
Ar4.23,good_x_easy,0.011124,0.015834,0.036054,0.022004,460.15,True,,,1,False,True,,41.82,2543,4690,,
Ar4.24,good_x_easy,0.000000,0.000000,0.000000,0.000000,515.53,True,,,1,False,True,,28.28,2543,3457,,
Ar4.26,good_x_easy,0.000000,0.000000,0.000000,0.000000,315.48,True,,,1,False,True,,38.55,2543,3029,,
Ar4.28,good_x_medium,0.102477,0.155961,0.230073,0.185903,276.91,True,,,1,False,True,,55.53,2543,6791,,
Ar4.29,good_x_easy,0.229782,0.383071,0.364768,0.373696,98.26,True,,,1,False,True,,69.16,2543,7527,,
Ar4.3,bad_x_hard,0.320777,0.385136,0.657486,0.485740,122.00,True,,,1,False,True,,45.08,3083,6465,,
Ar4.30,good_x_easy,0.000000,0.000000,0.000000,0.000000,1424.33,True,,,1,False,True,,133.79,7331,13177,,
Ar4.4,bad_x_easy,0.011935,0.017160,0.037722,0.023589,390.23,True,,,1,False,True,,145.60,3635,19447,,
Ar4.6,good_x_medium,0.014260,0.023553,0.034878,0.028118,167.83,True,,,1,False,True,,44.96,3696,3803,,
